[  84,  185] 彼のようなすばらしい人に出会えたこううんに慈えしています。
[ 114, 1196] 1
[ 144,  166] 1 幸連
[ 144,  384] 2 辛連
[ 144,  600] 3 幸巡
[ 144,  820] 4 辛速
[ 232,  190] 夏が終わったので
[ 232,  392] プールの水をぬいた。
[ 276,  200] 緩いた
[ 276,  418] 抜いた
[ 276,  636] 貫いた
[ 276,  854] 状いた
[ 279,  167] 1
[ 279,  385] 2
[ 279,  603] 3
[ 318, 1196] 昌
[ 412,  150] 語形成 VVord formation
[ 484,  258] に入れるのに最もよいものを、
[ 484,  570] 1 ・2 ・ 3・ 4から一つ選びなさいc
[ 582,  318] )から手伝ったのだが 余計なことをしてしまったようだ
[ 584,  190] 親切
[ 628,  166] 1 力
[ 628,  382] 2 念
[ 628,  602] 3 心
[ 628,  820] 4 気
[ 715,  287] 性能なパソコンを使用しています。
[ 719,  145] 2
[ 760,  166] 1 良
[ 760,  382] 2 高
[ 762,  602] 3 上
[ 762,  820] 4
[ 762,  854] 極
[ 848,  294] ) の道を散歩した。
[ 850,  142] 3
[ 850,  188] 川 (
[ 894,  166] 1 機
[ 894,  636] 浴い
[ 894,  856] 通り
[ 896,  384] 2
[ 896,  416] 元
[ 896,  602] 3
[ 897,  821] 4
[ 980,  192] もっと具体 (
[ 980,  384] )のあるプランを提案してください。
[1026,  166] 1 性
[1026,  384] 2 的
[1026,  602] 3 感
[1028,  820] 4 化
[1114,  192] この歌は
[1114,  366] ) 世界で流行しました
[1117,  145] 5
[1158,  200] 諸
[1158,  602] 3 各
[1160,  418] 両
[1160,  820] 4 全
[1162,  166] 1
[1163,  385] 2
[1668, 1098] 21
